match_id,minute,p,gold_adv,tower_adv,kills_adv,draft_logit,in_test
8730753409,0,0.526917,0,0,0,0.268717,1
8730753409,1,0.526917,-35,0,0,0.268717,1
8730753409,2,0.526917,-3,0,0,0.268717,1
8730753409,3,0.554795,203,0,1,0.268717,1
8730753409,4,0.495043,77,0,1,0.268717,1
8730753409,5,0.489796,-287,0,1,0.268717,1
8730753409,6,0.471988,-523,0,1,0.268717,1
8730753409,7,0.412844,-1163,0,-1,0.268717,1
8730753409,8,0.380325,-1486,0,-1,0.268717,1
8730753409,9,0.380325,-1526,0,-2,0.268717,1
8730753409,10,0.33162,-2469,0,-4,0.268717,1
8730753409,11,0.344828,-2949,0,-3,0.268717,1
8730753409,12,0.310479,-2940,0,-3,0.268717,1
8730753409,13,0.380325,-2859,0,0,0.268717,1
8730753409,14,0.489796,-952,0,0,0.268717,1
8730753409,15,0.413562,-1799,0,0,0.268717,1
8730753409,16,0.413562,-1859,0,-1,0.268717,1
8730753409,17,0.436,-2304,0,0,0.268717,1
8730753409,18,0.471988,-2012,0,0,0.268717,1
8730753409,19,0.495043,-1469,1,3,0.268717,1
8730753409,20,0.762712,1317,1,7,0.268717,1
8730753409,21,0.805025,2867,2,6,0.268717,1
8730753409,22,0.805025,3633,2,6,0.268717,1
8730753409,23,0.843982,5019,2,5,0.268717,1
8730753409,24,0.781479,4915,1,5,0.268717,1
8730753409,25,0.66539,4295,1,6,0.268717,1
8730753409,26,0.805025,5202,2,9,0.268717,1
8730753409,27,0.910931,8415,3,8,0.268717,1
8730753409,28,0.972028,9269,3,13,0.268717,1
8730753409,29,0.992925,13911,4,14,0.268717,1
8730753409,30,0.992925,15895,4,16,0.268717,1
8730753409,31,0.997,18172,5,18,0.268717,1
8730753409,32,0.997,20895,5,19,0.268717,1
8730753409,33,0.997,21371,6,22,0.268717,1
8730753409,34,0.997,26491,6,20,0.268717,1
8730753409,35,0.997,22308,6,21,0.268717,1
8730753409,36,0.992925,22277,6,20,0.268717,1
8730753409,37,0.992925,19503,6,20,0.268717,1
8730753409,38,0.972028,17953,6,20,0.268717,1
8730753409,39,0.98731,19008,6,20,0.268717,1
8730753409,40,0.992537,20478,6,21,0.268717,1
8730753409,41,0.997,19454,8,25,0.268717,1
8730753409,42,0.997,23891,8,25,0.268717,1
8730786393,0,0.582902,398,0,1,0.0516453,1
8730786393,1,0.634916,372,0,2,0.0516453,1
8730786393,2,0.587828,491,0,2,0.0516453,1
8730786393,3,0.634916,763,0,2,0.0516453,1
8730786393,4,0.587828,736,0,1,0.0516453,1
8730786393,5,0.587828,747,0,2,0.0516453,1
8730786393,6,0.582902,1098,0,2,0.0516453,1
8730786393,7,0.554795,1241,0,2,0.0516453,1
8730786393,8,0.582902,1467,0,3,0.0516453,1
8730786393,9,0.634916,1874,0,3,0.0516453,1
8730786393,10,0.634916,2398,0,4,0.0516453,1
8730786393,11,0.66539,2370,0,7,0.0516453,1
8730786393,12,0.66539,3125,1,7,0.0516453,1
8730786393,13,0.8,4331,1,7,0.0516453,1
8730786393,14,0.700368,3863,2,7,0.0516453,1
8730786393,15,0.781479,4823,2,7,0.0516453,1
8730786393,16,0.761124,5044,2,7,0.0516453,1
8730786393,17,0.805025,5442,3,8,0.0516453,1
8730786393,18,0.851064,6634,3,9,0.0516453,1
8730786393,19,0.878472,6878,4,8,0.0516453,1
8730786393,20,0.805025,6743,4,7,0.0516453,1
8730786393,21,0.66539,4631,2,7,0.0516453,1
8730786393,22,0.587828,3138,2,7,0.0516453,1
8730786393,23,0.587828,2935,2,8,0.0516453,1
8730786393,24,0.773481,4203,3,10,0.0516453,1
