ts,when,model,source,n_matches,n_rows,sha256,log_loss,brier,ece,note
1786715853,2026-08-14 16:57:33,live_exact.pkl,holdout,200,7291,2a70dcc2a2b9c633,0.5096,0.1732,0.0313,
1786715906,2026-08-14 16:58:25,live_exact_ho.pkl,holdout,200,7291,a2ad3f47dd1cc32d,0.5430,0.1859,0.0446,
1786716559,2026-08-14 17:09:19,ho_s3.pkl,holdout,100,3708,94d7bddfcfadbe6b,0.5675,0.1954,0.0698,
1786716588,2026-08-14 17:09:47,ho_s11.pkl,holdout,100,3708,4d4f916d1e3ee0bc,0.5452,0.1866,0.0349,
1786723673,2026-08-14 19:07:53,live_exact_ho.pkl,holdout,200,7291,a2ad3f47dd1cc32d,0.5430,0.1859,0.0446,
1786730747,2026-08-14 21:05:47,ансамбль(ens_03+ens_05+ens_07+ens_11+ens_13),holdout,1167,42843,1d707e7803a58a82,0.5236,0.1781,0.0079,"bench_ensemble, 5 моделей"
1786731324,2026-08-14 21:15:23,ансамбль(5): ens_03+ens_05+ens_07+ens_11+ens_13,holdout,150,5456,97588ecf152d369d,nan,nan,nan,"forecast --build: описательная таблица, модель не менялась"
1786732097,2026-08-14 21:28:16,ансамбль(5): ens_03+ens_05+ens_07+ens_11+ens_13,holdout,1167,42843,1d707e7803a58a82,nan,nan,nan,"forecast --build: описательная таблица, модель не менялась"
1786733566,2026-08-14 21:52:45,ens_03+ens_05+ens_07+ens_11+ens_13.pkl,holdout,40,1427,7361a32d175fbb3a,0.4944,0.1664,0.1171,
1786734896,2026-08-14 22:14:55,ансамбль(ens_03+ens_05+ens_07+ens_11+ens_13),holdout,1167,42843,b3e3c5cb751641ef,0.5233,0.1780,0.0082,"bench_ensemble, 5 моделей"
1786734998,2026-08-14 22:16:37,ансамбль(ens_03+ens_05+ens_07+ens_11+ens_13+div_17+div_19+di,holdout,1167,42843,4394fb9e37a5e251,0.5228,0.1777,0.0085,"bench_ensemble, 8 моделей"
1786735279,2026-08-14 22:21:18,ансамбль(5): ens_03+ens_05+ens_07+ens_11+ens_13,holdout,1167,42843,b3e3c5cb751641ef,nan,nan,nan,"forecast --build: описательная таблица, модель не менялась"
1786815312,2026-08-15 20:35:12,bench_models(все),holdout,1167,42843,b3e3c5cb751641ef,0.5233,0.1780,0.0082,рейтинг 11 моделей за один проход
1786883887,2026-08-16 15:38:06,bench_models(все),holdout,1864,66823,42a3f7e68371336e,0.5192,0.1761,0.0089,рейтинг 12 моделей за один проход
