ts,match_id,server_steam_id,game_state,game_time,p,minute,gold_adv,gold_adv_d1,gold_adv_slope5,radiant_towers_lost,dire_towers_lost,tower_adv,rax_adv,draft_logit,kills_adv,kills_adv_d5,nw_top_adv,nw_conc_adv,radiant_t3_lost,dire_t3_lost,t3_adv,level_adv,lh_adv,dn_adv,gold_adv_norm,gold_adv_norm_slope5,graph_gold_last,graph_gold_len,nw_adv,nw_total,team_id_radiant,team_id_dire,model
1786623027,8943357930,90290747395854344,5,1915,0.201036,31.9167,-12987,,,4,3,-1,0,1.08159,1,,-8013,-0.0538338,0,0,0,-4,-174,17,-0.0892044,,-12523,128,-12987,145587,8255888,10150413,exact_b.pkl
1786623042,8943357930,90290747395854344,5,1930,0.201036,32.1667,-13926,,,4,3,-1,0,1.08159,1,,-8283,-0.0525339,0,0,0,-4,-179,17,-0.0940654,,-13326,128,-13926,148046,8255888,10150413,exact_b.pkl
1786623057,8943357930,90290747395854344,5,1945,0.201036,32.4167,-14502,,,4,3,-1,0,1.08159,1,,-8561,-0.0535031,0,0,0,-4,-192,17,-0.09708,,-14065,128,-14502,149382,8255888,10150413,exact_b.pkl
1786623072,8943357930,90290747395854344,5,1961,0.193980,32.6833,-12991,,,4,3,-1,0,1.08159,1,,-8618,-0.0594584,0,0,0,-5,-205,17,-0.0849468,,-13598,128,-12991,152931,8255888,10150413,exact_b.pkl
1786623088,8943357930,90290747395854344,5,1976,0.193980,32.9333,-12920,67,,4,3,-1,0,1.08159,1,,-8426,-0.0566757,0,0,0,-5,-205,17,-0.0839244,,-13013,128,-12920,153948,8255888,10150413,exact_b.pkl
1786623103,8943357930,90290747395854344,5,1991,0.193980,33.1833,-13461,465,,4,3,-1,0,1.08159,1,,-8636,-0.0569044,0,0,0,-7,-217,17,-0.0868737,,-13132,128,-13461,154949,8255888,10150413,exact_b.pkl
1786623118,8943357930,90290747395854344,5,2006,0.132867,33.4333,-13384,1118,,4,3,-1,0,1.08159,1,,-6753,-0.0342825,0,0,0,-7,-214,17,-0.0855831,,-13291,128,-13384,156386,8255888,10150413,exact_b.pkl
1786623133,8943357930,90290747395854344,5,2022,0.201036,33.7,-12769,222,,4,4,0,0,1.08159,1,,-6452,-0.0322438,0,0,0,-7,-212,17,-0.0805946,,-13631,128,-12769,158435,8255888,10150413,exact_b.pkl
1786623149,8943357930,90290747395854344,5,2037,0.201036,33.95,-12730,190,,4,4,0,0,1.08159,1,,-6550,-0.0335648,0,0,0,-7,-214,17,-0.0799543,,-13002,128,-12730,159216,8255888,10150413,exact_b.pkl
1786623164,8943357930,90290747395854344,5,2052,0.201036,34.2,-12736,725,,4,4,0,0,1.08159,1,,-6123,-0.0278573,0,0,0,-7,-219,17,-0.0792543,,-12789,128,-12736,160698,8255888,10150413,exact_b.pkl
1786623179,8943357930,90290747395854344,5,2068,0.201036,34.4667,-12601,783,,4,4,0,0,1.08159,1,,-6118,-0.0279702,0,0,0,-5,-218,17,-0.0778806,,-12729,128,-12601,161799,8255888,10150413,exact_b.pkl
1786623195,8943357930,90290747395854344,5,2083,0.208333,34.7167,-12091,678,,4,4,0,0,1.08159,1,,-5677,-0.0238807,0,0,0,-5,-208,17,-0.0736829,,-12653,128,-12091,164095,8255888,10150413,exact_b.pkl
1786623210,8943357930,90290747395854344,5,2098,0.208333,34.9667,-12156,574,,4,4,0,0,1.08159,1,,-5557,-0.021884,0,0,0,-5,-207,17,-0.0736897,,-12112,128,-12156,164962,8255888,10150413,exact_b.pkl
1786623225,8943357930,90290747395854344,5,2113,0.201036,35.2167,-12258,478,,4,4,0,0,1.08159,1,,-5643,-0.0224821,0,0,0,-7,-210,17,-0.0741328,,-12224,128,-12258,165352,8255888,10150413,exact_b.pkl
1786623240,8943357930,90290747395854344,5,2129,0.201036,35.4833,-12305,296,,4,4,0,0,1.08159,1,,-5798,-0.0239103,0,0,0,-9,-211,17,-0.0739888,,-12141,128,-12305,166309,8255888,10150413,exact_b.pkl
1786623256,8943357930,90290747395854344,5,2144,0.132867,35.7333,-14558,-2467,,4,4,0,0,1.08159,0,,-5846,-0.0159695,0,0,0,-9,-214,17,-0.0875216,,-12148,128,-14558,166336,8255888,10150413,exact_b.pkl
1786623271,8943357930,90290747395854344,5,2159,0.132867,35.9833,-13893,-1737,,4,4,0,0,1.08159,0,,-5728,-0.0168811,0,0,0,-9,-210,17,-0.0834841,,-14543,128,-13893,166415,8255888,10150413,exact_b.pkl
1786623286,8943357930,90290747395854344,5,2175,0.132867,36.25,-14101,-1843,,4,4,0,0,1.08159,0,,-5728,-0.0161959,0,0,0,-9,-215,17,-0.0843841,,-13874,128,-14101,167105,8255888,10150413,exact_b.pkl
1786623302,8943357930,90290747395854344,5,2190,0.132867,36.5,-14824,-2519,,4,4,0,0,1.08159,0,,-5922,-0.0154211,0,0,0,-10,-217,17,-0.087688,,-14012,128,-14824,169054,8255888,10150413,exact_b.pkl
1786623317,8943357930,90290747395854344,5,2205,0.130542,36.75,-14952,-394,,4,4,0,0,1.08159,0,,-6211,-0.0179372,0,0,0,-11,-214,17,-0.0871237,,-14714,128,-14952,171618,8255888,10150413,exact_b.pkl
1786623332,8943357930,90290747395854344,5,2220,0.130542,37,-15339,-1446,-462.689,4,4,0,0,1.08159,0,-1,-6443,-0.0191372,0,0,0,-8,-218,17,-0.0885414,0.000130426,-14736,128,-15339,173241,8255888,10150413,exact_b.pkl
1786623347,8943357930,90290747395854344,5,2236,0.132867,37.2667,-15378,-1277,-284.706,4,4,0,0,1.08159,0,-1,-6378,-0.0181651,0,0,0,-7,-213,17,-0.0878281,0.00122299,-15339,128,-15378,175092,8255888,10150413,exact_b.pkl
1786623363,8943357930,90290747395854344,5,2251,0.130542,37.5167,-16148,-1324,-322.745,4,4,0,0,1.08159,0,-1,-6993,-0.0227929,0,0,0,-8,-221,17,-0.0915067,0.0010928,-15120,128,-16148,176468,8255888,10150413,exact_b.pkl
1786623378,8943357930,90290747395854344,5,2266,0.130542,37.7667,-16746,-1794,-738.689,4,4,0,0,1.08159,0,-1,-7111,-0.0218908,0,0,0,-8,-220,17,-0.0939161,-0.00176446,-16098,128,-16746,178308,8255888,10150413,exact_b.pkl
1786623393,8943357930,90290747395854344,5,2282,0.132867,38.0333,-15807,-468,-566.078,4,4,0,0,1.08159,0,-1,-6950,-0.022978,0,0,0,-8,-204,17,-0.0881472,-0.000827995,-16438,128,-15807,179325,8255888,10150413,exact_b.pkl
1786623409,8943357930,90290747395854344,5,2297,0.132867,38.2833,-15708,-330,-440.588,4,4,0,0,1.08159,0,-1,-6992,-0.0238028,0,0,0,-7,-196,17,-0.0873084,-8.52226e-05,-15627,128,-15708,179914,8255888,10150413,exact_b.pkl
1786623424,8943357930,90290747395854344,5,2312,0.132867,38.5333,-15802,346,-474.118,4,4,0,0,1.08159,0,-1,-6992,-0.0235296,0,0,0,-7,-198,17,-0.0875467,-0.000385013,-15583,128,-15802,180498,8255888,10150413,exact_b.pkl
1786623439,8943357930,90290747395854344,5,2327,0.130542,38.7833,-18958,-2212,-1217.51,4,4,0,0,1.08159,-1,-2,-7083,-0.0133299,0,0,0,-9,-199,17,-0.105231,-0.00484652,-16111,128,-18958,180156,8255888,10150413,exact_b.pkl
1786623454,8943357930,90290747395854344,5,2343,0.130542,39.05,-17025,-1218,-842.157,4,4,0,0,1.08159,-1,-2,-6059,-0.00937696,0,0,0,-8,-199,17,-0.0936618,-0.00268775,-17624,128,-17025,181771,8255888,10150413,exact_b.pkl
1786623470,8943357930,90290747395854344,5,2358,0.130542,39.3,-16328,-620,-704.314,4,4,0,0,1.08159,-1,-2,-6199,-0.0133148,0,0,0,-8,-188,17,-0.0893725,-0.00198397,-18641,128,-16328,182696,8255888,10150413,exact_b.pkl
1786623485,8943357930,90290747395854344,5,2373,0.130542,39.55,-16297,-495,-727.082,4,4,0,0,1.08159,-1,-2,-6199,-0.0134472,0,0,0,-8,-193,17,-0.0890357,-0.00219444,-16309,128,-16297,183039,8255888,10150413,exact_b.pkl
1786623500,8943357930,90290747395854344,5,2388,0.130542,39.8,-16507,2451,-868.721,4,4,0,0,1.08159,-1,-2,-5809,-0.00873154,0,0,0,-9,-207,17,-0.0887974,-0.00297335,-16309,128,-16507,185895,8255888,10150413,exact_b.pkl
1786623516,8943357930,90290747395854344,5,2404,0.130542,40.0667,-17237,-212,-996.275,4,4,0,0,1.08159,-1,-2,-6110,-0.00930267,0,0,0,-9,-206,17,-0.0915805,-0.00350799,-16680,128,-17237,188217,8255888,10150413,exact_b.pkl
1786623531,8943357930,90290747395854344,5,2419,0.130542,40.3167,-16761,-433,-882.941,4,4,0,0,1.08159,-1,-2,-6121,-0.0107377,0,0,0,-8,-195,17,-0.0883269,-0.00278316,-16583,128,-16761,189761,8255888,10150413,exact_b.pkl
1786623546,8943357930,90290747395854344,5,2435,0.132867,40.5833,-16177,120,-759.216,4,4,0,0,1.08159,-1,-2,-5674,-0.00733936,0,0,0,-7,-187,17,-0.0844219,-0.0020457,-17290,128,-16177,191621,8255888,10150413,exact_b.pkl
1786623562,8943357930,90290747395854344,5,2450,0.193980,40.8333,-16759,-252,-431.569,4,4,0,0,1.08159,-1,-1,-5343,-0.00203941,0,0,0,-5,-190,17,-0.0867744,0.000146518,-16688,128,-16759,193133,8255888,10150413,exact_b.pkl
1786623577,8943357930,90290747395854344,5,2465,0.201036,41.0833,-16513,724,-513.725,4,5,1,0,1.08159,-1,-1,-5207,-0.00117039,0,0,0,-6,-201,17,-0.0845784,-0.000214574,-16709,128,-16513,195239,8255888,10150413,exact_b.pkl
1786623592,8943357930,90290747395854344,5,2480,0.201036,41.3333,-16771,-10,-525.246,4,5,1,0,1.08159,-1,-1,-5207,-0.000569537,0,0,0,-6,-218,17,-0.08547,-0.000213617,-16888,128,-16771,196221,8255888,10150413,exact_b.pkl
1786623608,8943357930,90290747395854344,5,2496,0.201036,41.6,-15813,364,-193.922,4,6,2,0,1.08159,-1,-1,-4781,0.00107351,0,1,1,-6,-211,17,-0.0798915,0.00152872,-16745,128,-15813,197931,8255888,10150413,exact_b.pkl
1786623623,8943357930,90290747395854344,5,2511,0.193980,41.85,-16640,119,-330.98,4,6,2,0,1.08159,-1,-1,-5205,-0.000528807,0,1,1,-6,-217,17,-0.0835954,0.000691828,-16218,128,-16640,199054,8255888,10150413,exact_b.pkl
1786623638,8943357930,90290747395854344,5,2526,0.132867,42.1,-16417,96,-211.373,4,6,2,0,1.08159,-1,-1,-5535,-0.0044085,0,1,1,-7,-207,17,-0.0816852,0.00134436,-16519,128,-16417,200979,8255888,10150413,exact_b.pkl
1786623653,8943357930,90290747395854344,5,2542,0.132867,42.3667,-16636,135,-246.667,4,6,2,0,1.08159,-1,-1,-6001,-0.00813706,0,1,1,-7,-199,17,-0.0818604,0.00117014,-16920,128,-16636,203224,8255888,10150413,exact_b.pkl
1786623669,8943357930,90290747395854344,5,2557,0.132867,42.6167,-16588,-775,-86.2745,4,6,2,0,1.08159,-1,-1,-5729,-0.00558175,0,1,1,-4,-198,17,-0.0810309,0.00205407,-16725,128,-16588,204712,8255888,10150413,exact_b.pkl
1786623684,8943357930,90290747395854344,5,2572,0.132867,42.8667,-16933,-293,-36.6667,4,6,2,0,1.08159,-1,-1,-6559,-0.0130293,0,1,1,-4,-199,17,-0.0825505,0.00222856,-16011,128,-16933,205123,8255888,10150413,exact_b.pkl
1786623699,8943357930,90290747395854344,5,2587,0.132867,43.1167,-17230,-813,-279.934,4,6,2,0,1.08159,-1,-1,-5415,-0.00211608,0,1,1,-6,-202,17,-0.08374,0.000867001,-16579,128,-17230,205756,8255888,10150413,exact_b.pkl
1786623715,8943357930,90290747395854344,5,2603,0.136364,43.3833,-16962,-326,-245.882,4,6,2,0,1.08159,-1,-1,-4981,0.00157887,0,1,1,-6,-184,17,-0.0819278,0.00105502,-17107,128,-16962,207036,8255888,10150413,exact_b.pkl
1786623730,8943357930,90290747395854344,5,2618,0.193980,43.6333,-15906,682,-20.3922,4,6,2,0,1.08159,-1,-1,-3444,0.0127635,0,1,1,-6,-188,17,-0.0765934,0.0021477,-16944,128,-15906,207668,8255888,10150413,exact_b.pkl
1786623745,8943357930,90290747395854344,5,2633,0.201036,43.8833,-16534,399,475.294,4,6,2,0,1.08159,-1,0,-3361,0.0152844,0,1,1,-6,-192,17,-0.0793492,0.00507486,-16191,128,-16534,208370,8255888,10150413,exact_b.pkl
1786623760,8943357930,90290747395854344,5,2649,0.201036,44.15,-16840,390,36.2745,4,6,2,0,1.08159,-1,0,-3374,0.0159337,0,1,1,-5,-196,17,-0.080319,0.00261624,-16386,128,-16840,209664,8255888,10150413,exact_b.pkl
1786623776,8943357930,90290747395854344,5,2664,0.201036,44.4,-17793,-831,-287.255,4,6,2,0,1.08159,-1,0,-3578,0.0162551,0,1,1,-6,-210,17,-0.083622,0.00112756,-16668,128,-17793,212779,8255888,10150413,exact_b.pkl
1786623791,8943357930,90290747395854344,5,2679,0.193980,44.65,-17338,-1432,-204.118,4,6,2,0,1.08159,-1,0,-2892,0.0213042,0,1,1,-7,-196,17,-0.0806569,0.0016429,-17829,128,-17338,214960,8255888,10150413,exact_b.pkl
1786623806,8943357930,90290747395854344,5,2694,0.130542,44.9,-18164,-1630,-324.902,4,6,2,0,1.08159,-2,-1,-2480,0.0273465,0,1,1,-9,-192,17,-0.0839597,0.000948585,-17795,128,-18164,216342,8255888,10150413,exact_b.pkl
1786623821,8943357930,90290747395854344,5,2710,0.130542,45.1667,-19050,-2210,-355.49,5,6,1,0,1.08159,-2,-1,-2295,0.0312552,0,1,1,-8,-194,17,-0.0873036,0.000838596,-17051,128,-19050,218204,8255888,10150413,exact_b.pkl
1786623837,8943357930,90290747395854344,5,2725,0.132867,45.4167,-18827,-1034,-405.098,5,6,1,0,1.08159,-2,-1,-2435,0.0290757,0,1,1,-8,-188,17,-0.085836,0.00048842,-18788,128,-18827,219337,8255888,10150413,exact_b.pkl
