ts,match_id,server_steam_id,game_state,game_time,p,minute,gold_adv,gold_adv_d1,gold_adv_slope5,radiant_towers_lost,dire_towers_lost,tower_adv,rax_adv,draft_logit,kills_adv,kills_adv_d5,nw_top_adv,nw_conc_adv,gold_adv_norm,gold_adv_norm_slope5,graph_gold_last,graph_gold_len,nw_adv,nw_total,team_id_radiant,team_id_dire,model
1786622458,8943357930,90290747395854344,5,1379,0.187305,22.9833,-12982,,,3,1,-2,0,0.850817,-3,,-8026,-0.0830914,-0.1343,,-12263,128,-12982,96664,8255888,10150413,live.pkl
1786622473,8943357930,90290747395854344,5,1394,0.187305,23.2333,-13370,,,3,1,-2,0,0.850817,-3,,-8211,-0.0832919,-0.136356,,-13286,128,-13370,98052,8255888,10150413,live.pkl
1786622488,8943357930,90290747395854344,5,1410,0.187305,23.5,-13534,,,3,1,-2,0,0.850817,-3,,-8029,-0.0771894,-0.135859,,-13416,128,-13534,99618,8255888,10150413,live.pkl
1786622503,8943357930,90290747395854344,5,1425,0.187305,23.75,-14049,,,3,1,-2,0,0.850817,-3,,-8190,-0.0761255,-0.139109,,-13968,128,-14049,100993,8255888,10150413,live.pkl
1786622519,8943357930,90290747395854344,5,1440,0.187305,24,-12600,382,,3,2,-1,0,0.850817,-2,,-7885,-0.0770134,-0.122088,,-12967,128,-12600,103204,8255888,10150413,live.pkl
1786622534,8943357930,90290747395854344,5,1455,0.187305,24.25,-13042,328,,3,2,-1,0,0.850817,-2,,-8198,-0.0787439,-0.124219,,-12543,128,-13042,104992,8255888,10150413,live.pkl
1786622549,8943357930,90290747395854344,5,1470,0.187305,24.5,-13174,360,,3,2,-1,0,0.850817,-2,,-8339,-0.0792531,-0.123472,,-13340,128,-13174,106696,8255888,10150413,live.pkl
1786622565,8943357930,90290747395854344,5,1486,0.187305,24.7667,-13244,805,,3,2,-1,0,0.850817,-2,,-8487,-0.0804819,-0.122771,,-13207,128,-13244,107876,8255888,10150413,live.pkl
1786622580,8943357930,90290747395854344,5,1501,0.187305,25.0167,-13546,-946,,4,2,-2,0,0.850817,-2,,-8667,-0.0812148,-0.12373,,-13642,128,-13546,109480,8255888,10150413,live.pkl
1786622595,8943357930,90290747395854344,5,1516,0.187305,25.2667,-13335,-293,,4,2,-2,0,0.850817,-2,,-8887,-0.0850748,-0.120281,,-13501,128,-13335,110865,8255888,10150413,live.pkl
