ts,match_id,server_steam_id,game_state,game_time,p,minute,gold_adv,gold_adv_d1,gold_adv_slope5,radiant_towers_lost,dire_towers_lost,tower_adv,rax_adv,draft_logit,kills_adv,kills_adv_d5,nw_top_adv,nw_conc_adv,gold_adv_norm,gold_adv_norm_slope5,graph_gold_last,graph_gold_len,nw_adv,nw_total,team_id_radiant,team_id_dire,model
1786630088,8943477775,90290765246529544,5,3558,0.925926,59.3,13917,,,3,8,5,4,0.0816952,14,,16185,0.0813417,0.0491064,,14410,128,13917,283405,9572001,9247354,base_b.pkl
1786630103,8943477775,90290765246529544,5,3573,0.925926,59.55,14736,,,3,8,5,4,0.0816952,14,,16677,0.0824228,0.0517681,,13712,128,14736,284654,9572001,9247354,base_b.pkl
1786630119,8943477775,90290765246529544,5,3589,0.925926,59.8167,10895,,,3,8,5,4,0.0816952,13,,16090,0.0869781,0.038169,,14109,128,10895,285441,9572001,9247354,base_b.pkl
1786630134,8943477775,90290765246529544,5,3604,0.925926,60.0667,9996,,,3,8,5,4,0.0816952,14,,16775,0.0940692,0.035194,,14421,128,9996,284026,9572001,9247354,base_b.pkl
1786630149,8943477775,90290765246529544,5,3620,0.925926,60.3333,14533,616,,3,8,5,4,0.0816952,15,,16502,0.0815868,0.0516672,,10713,128,14533,281281,9572001,9247354,base_b.pkl
1786630165,8943477775,90290765246529544,5,3635,0.925926,60.5833,11776,-2960,,3,8,5,4,0.0816952,13,,16160,0.085155,0.0414108,,10229,128,11776,284370,9572001,9247354,base_b.pkl
1786630180,8943477775,90290765246529544,5,3650,0.925926,60.8333,13100,2205,,3,8,5,4,0.0816952,13,,16407,0.0835833,0.0460467,,12141,128,13100,284494,9572001,9247354,base_b.pkl
1786630195,8943477775,90290765246529544,5,3666,0.925926,61.1,13038,3042,,3,8,5,4,0.0816952,13,,16650,0.0847724,0.0454672,,11639,128,13038,286756,9572001,9247354,base_b.pkl
1786630211,8943477775,90290765246529544,5,3681,0.925926,61.35,12993,-1540,,3,8,5,4,0.0816952,13,,16658,0.0846678,0.0451693,,13101,128,12993,287651,9572001,9247354,base_b.pkl
1786630226,8943477775,90290765246529544,5,3696,0.925926,61.6,13156,1380,,3,8,5,4,0.0816952,13,,16531,0.0832121,0.045627,,13173,128,13156,288338,9572001,9247354,base_b.pkl
1786630241,8943477775,90290765246529544,5,3712,0.925926,61.8667,12483,-617,,3,8,5,4,0.0816952,13,,16396,0.083554,0.0430803,,13131,128,12483,289761,9572001,9247354,base_b.pkl
1786630257,8943477775,90290765246529544,5,3727,0.925926,62.1167,12548,-490,,3,8,5,4,0.0816952,13,,16396,0.0833246,0.0432561,,13138,128,12548,290086,9572001,9247354,base_b.pkl
1786630272,8943477775,90290765246529544,5,3742,0.925926,62.3667,11669,-1324,,3,8,5,4,0.0816952,13,,16283,0.0842307,0.040023,,12483,128,11669,291557,9572001,9247354,base_b.pkl
1786630287,8943477775,90290765246529544,5,3757,0.925926,62.6167,11430,-1726,,3,8,5,4,0.0816952,13,,16100,0.0828387,0.0389101,,12496,128,11430,293754,9572001,9247354,base_b.pkl
1786630303,8943477775,90290765246529544,5,3773,0.925926,62.8833,11173,-1310,,3,8,5,4,0.0816952,13,,15840,0.0814326,0.0379313,,11467,128,11173,294559,9572001,9247354,base_b.pkl
1786630318,8943477775,90290765246529544,5,3789,0.925926,63.15,10922,-1626,,3,8,5,4,0.0816952,13,,15516,0.0794914,0.0369241,,11464,128,10922,295796,9572001,9247354,base_b.pkl
1786630334,8943477775,90290765246529544,5,3804,0.925926,63.4,10689,-980,,3,8,5,4,0.0816952,13,,15516,0.0798039,0.0359956,,11254,128,10689,296953,9572001,9247354,base_b.pkl
1786630349,8943477775,90290765246529544,5,3819,0.925926,63.65,10694,-736,,3,8,5,4,0.0816952,13,,15197,0.0773381,0.0358679,,10921,128,10694,298150,9572001,9247354,base_b.pkl
1786630364,8943477775,90290765246529544,5,3834,0.925926,63.9,11324,151,,3,8,5,4,0.0816952,13,,15104,0.0750471,0.0378392,,10866,128,11324,299266,9572001,9247354,base_b.pkl
1786630379,8943477775,90290765246529544,5,3850,0.925926,64.1667,11724,802,,3,8,5,4,0.0816952,13,,14894,0.0722998,0.0389295,,10625,128,11724,301160,9572001,9247354,base_b.pkl
1786630395,8943477775,90290765246529544,5,3865,0.849701,64.4167,7221,-3468,-1308.66,3,8,5,4,0.0816952,12,-2,14479,0.0797366,0.0240032,-0.00490617,11313,128,7221,300835,9572001,9247354,base_b.pkl
1786630410,8943477775,90290765246529544,5,3880,0.916667,64.6667,10376,-318,-852.117,3,8,5,4,0.0816952,13,-1,14825,0.0745706,0.034466,-0.00338151,8967,128,10376,301050,9572001,9247354,base_b.pkl
1786630427,8943477775,90290765246529544,5,3896,0.925926,64.9333,12725,1401,357.655,3,8,5,4,0.0816952,14,1,15368,0.0724408,0.0421303,0.000774198,12327,128,12725,302039,9572001,9247354,base_b.pkl
1786630442,8943477775,90290765246529544,5,3912,0.916667,65.2,10858,-866,167.922,3,8,5,4,0.0816952,13,-1,15053,0.0743249,0.0357828,0.000114706,12671,128,10858,303442,9572001,9247354,base_b.pkl
1786630457,8943477775,90290765246529544,5,3927,0.895890,65.45,10057,2836,-874.788,3,8,5,4,0.0816952,13,-2,15216,0.0767807,0.0329244,-0.00366308,11348,128,10057,305457,9572001,9247354,base_b.pkl
1786630472,8943477775,90290765246529544,5,3943,0.925926,65.7167,11227,851,-106.948,3,8,5,4,0.0816952,13,0,15738,0.0765792,0.0362818,-0.000999166,11152,128,11227,309439,9572001,9247354,base_b.pkl
1786630488,8943477775,90290765246529544,5,3958,0.925926,65.9667,11941,-784,-225.779,3,8,5,4,0.0816952,13,0,15719,0.0744014,0.0383579,-0.00149782,12087,128,11941,311305,9572001,9247354,base_b.pkl
1786630503,8943477775,90290765246529544,5,3973,0.925926,66.2167,12484,1626,-108.274,3,8,5,4,0.0816952,13,0,15814,0.0733637,0.0399067,-0.00108676,12134,128,12484,312830,9572001,9247354,base_b.pkl
1786630518,8943477775,90290765246529544,5,3989,0.925926,66.4833,12659,2602,-65.0649,3,8,5,4,0.0816952,13,0,15808,0.0724979,0.0402216,-0.000963832,11829,128,12659,314731,9572001,9247354,base_b.pkl
1786630534,8943477775,90290765246529544,5,4004,0.925926,66.7333,12320,1093,-162.857,3,8,5,4,0.0816952,13,0,15603,0.0716782,0.038973,-0.00129623,12509,128,12320,316116,9572001,9247354,base_b.pkl
1786630549,8943477775,90290765246529544,5,4019,0.925926,66.9833,12278,337,-40.0651,3,8,5,4,0.0816952,13,0,15776,0.0725801,0.038686,-0.000858832,12643,128,12278,317376,9572001,9247354,base_b.pkl
1786630564,8943477775,90290765246529544,5,4035,0.925926,67.25,12092,-392,-88.8312,3,8,5,4,0.0816952,13,0,15750,0.0725192,0.0379022,-0.00104298,12148,128,12092,319032,9572001,9247354,base_b.pkl
1786630580,8943477775,90290765246529544,5,4050,0.925926,67.5,11728,-931,11.4935,3,8,5,4,0.0816952,13,0,15880,0.0737541,0.0365231,-0.000681812,12240,128,11728,321112,9572001,9247354,base_b.pkl
1786630595,8943477775,90290765246529544,5,4065,0.925926,67.75,11626,-694,38.1818,3,8,5,4,0.0816952,13,0,15653,0.0722013,0.0360552,-0.000556151,11979,128,11626,322450,9572001,9247354,base_b.pkl
