ts,match_id,server_steam_id,game_state,game_time,p,minute,gold_adv,gold_adv_d1,gold_adv_slope5,radiant_towers_lost,dire_towers_lost,tower_adv,rax_adv,draft_logit,kills_adv,kills_adv_d5,nw_top_adv,nw_conc_adv,radiant_t3_lost,dire_t3_lost,t3_adv,level_adv,lh_adv,dn_adv,gold_adv_norm,gold_adv_norm_slope5,graph_gold_last,graph_gold_len,nw_adv,nw_total,team_id_radiant,team_id_dire,model
1786632166,8943477775,90290765246529544,5,5491,0.781479,91.5167,6555,,,7,8,1,4,0.0816952,15,,5011,0.0139984,2,2,0,1,-467,-64,0.0148521,,5515,128,6555,441353,9572001,9247354,live_exact.pkl
1786632182,8943477775,90290765246529544,5,5491,0.781479,91.5167,6555,,,7,8,1,4,0.0816952,15,,5011,0.0139984,2,2,0,1,-467,-64,0.0148521,,5515,128,6555,441353,9572001,9247354,live_exact.pkl
1786632197,8943477775,90290765246529544,5,5492,0.781479,91.5333,6475,,,7,8,1,4,0.0816952,15,,5011,0.0141029,2,2,0,1,-469,-64,0.0146671,,5515,128,6475,441463,9572001,9247354,live_exact.pkl
1786632212,8943477775,90290765246529544,5,5507,0.781479,91.7833,5349,,,7,8,1,4,0.0816952,15,,4515,0.0132868,2,2,0,1,-481,-64,0.0120516,,5554,128,5349,443843,9572001,9247354,live_exact.pkl
1786632228,8943477775,90290765246529544,5,5523,0.781479,92.05,5645,,,7,8,1,4,0.0816952,15,,4953,0.0147155,2,2,0,1,-505,-64,0.0126017,,5798,128,5645,447957,9572001,9247354,live_exact.pkl
1786632243,8943477775,90290765246529544,5,5538,0.781479,92.3,6641,,,7,8,1,4,0.0816952,15,,5941,0.0177061,2,2,0,1,-491,-64,0.0147478,,6297,128,6641,450305,9572001,9247354,live_exact.pkl
1786632258,8943477775,90290765246529544,5,5553,0.781479,92.55,7073,598,,7,8,1,4,0.0816952,15,,6007,0.0173838,2,2,0,1,-486,-64,0.0156324,,6128,128,7073,452457,9572001,9247354,live_exact.pkl
1786632273,8943477775,90290765246529544,5,5569,0.634916,92.8167,-13841,-19190,,7,8,1,4,0.0816952,14,,4586,0.0387235,2,2,0,0,-479,-64,-0.0308399,,5723,128,-13841,448801,9572001,9247354,live_exact.pkl
1786632289,8943477775,90290765246529544,5,5584,0.634916,93.0667,-13357,-19002,,7,8,1,4,0.0816952,16,,5121,0.0405664,2,2,0,1,-472,-64,-0.029732,,7076,128,-13357,449247,9572001,9247354,live_exact.pkl
1786632304,8943477775,90290765246529544,5,5599,0.718062,93.3167,3264,-3377,,7,8,1,4,0.0816952,17,,6639,0.0255361,2,2,0,1,-469,-64,0.00739707,,7519,128,3264,441256,9572001,9247354,live_exact.pkl
1786632319,8943477775,90290765246529544,5,5614,0.823105,93.5667,15753,8680,,7,8,1,4,0.0816952,17,,7544,0.0122977,2,2,0,1,-464,-64,0.0346414,,-16473,128,15753,454745,9572001,9247354,live_exact.pkl
1786632335,8943477775,90290765246529544,5,5630,0.843982,93.8333,22322,36163,,7,8,1,4,0.0816952,17,,7911,0.00549304,2,2,0,1,-456,-64,0.0482936,,-14744,128,22322,462214,9572001,9247354,live_exact.pkl
1786632350,8943477775,90290765246529544,5,5645,0.843982,94.0833,23049,36406,,7,8,1,4,0.0816952,17,,8077,0.0052142,2,2,0,1,-445,-64,0.0497405,,-3132,128,23049,463385,9572001,9247354,live_exact.pkl
1786632365,8943477775,90290765246529544,5,5660,0.962687,94.3333,51394,48130,,7,11,4,5,0.0816952,19,,16389,0.0048521,2,3,1,1,-450,-64,0.113603,,18111,128,51394,452400,9572001,9247354,live_exact.pkl
1786632381,8943477775,90290765246529544,5,5677,0.843982,94.6167,1059,-14694,,7,11,4,5,0.0816952,17,,2689,0.0109195,2,3,1,1,-448,-64,0.00241931,,21681,128,1059,437729,9572001,9247354,live_exact.pkl
1786632396,8943477775,90290765246529544,6,5678,0.761124,94.6333,1059,-14694,,,,,,-0.202118,17,,2689,0.0109188,,,,1,-447,-64,0.00241914,,22245,128,1059,437759,,,live_exact.pkl
1786632411,8943477775,90290765246529544,6,5678,0.761124,94.6333,1059,-14694,,,,,,-0.202118,17,,2689,0.0109188,,,,1,-447,-64,0.00241914,,22245,128,1059,437759,,,live_exact.pkl
1786632427,8943477775,90290765246529544,6,5678,0.761124,94.6333,1059,-14694,,,,,,-0.202118,17,,2689,0.0109188,,,,1,-447,-64,0.00241914,,22245,128,1059,437759,,,live_exact.pkl
1786632442,8943477775,90290765246529544,6,5678,0.761124,94.6333,1059,-14694,,,,,,-0.202118,17,,2689,0.0109188,,,,1,-447,-64,0.00241914,,22245,128,1059,437759,,,live_exact.pkl
1786632457,8943477775,90290765246529544,6,5678,0.761124,94.6333,1059,-14694,,,,,,-0.202118,17,,2689,0.0109188,,,,1,-447,-64,0.00241914,,22245,128,1059,437759,,,live_exact.pkl
