ts,match_id,server_steam_id,game_state,game_time,p,minute,gold_adv,gold_adv_d1,gold_adv_slope5,radiant_towers_lost,dire_towers_lost,tower_adv,rax_adv,draft_logit,kills_adv,kills_adv_d5,nw_top_adv,nw_conc_adv,radiant_t3_lost,dire_t3_lost,t3_adv,level_adv,lh_adv,dn_adv,gold_adv_norm,gold_adv_norm_slope5,graph_gold_last,graph_gold_len,nw_adv,nw_total,team_id_radiant,team_id_dire,model
1786635712,8943719790,90290774978013196,5,1464,0.045752,24.4,-25008,,,6,1,-5,0,0.179737,-22,,-7736,-0.015401,0,0,0,-23,-327,-22,-0.253651,,-24286,128,-25008,98592,,,live_exact.pkl
1786635727,8943719790,90290774978013196,5,1480,0.045752,24.6667,-25337,,,6,1,-5,0,0.179737,-22,,-7688,-0.0137474,0,0,0,-24,-339,-22,-0.253454,,-25038,128,-25337,99967,,,live_exact.pkl
1786635743,8943719790,90290774978013196,5,1495,0.045752,24.9167,-23297,,,6,1,-5,0,0.179737,-21,,-7026,-0.0106976,0,0,0,-22,-339,-22,-0.230114,,-25301,128,-23297,101241,,,live_exact.pkl
1786635758,8943719790,90290774978013196,5,1511,0.045752,25.1833,-23994,,,6,1,-5,0,0.179737,-23,,-7420,-0.014453,0,0,0,-22,-335,-22,-0.233523,,-23115,128,-23994,102748,,,live_exact.pkl
1786635773,8943719790,90290774978013196,5,1526,0.062718,25.4333,-25122,-114,,6,1,-5,0,0.179737,-24,,-7671,-0.0118967,0,0,0,-22,-338,-22,-0.241302,,-23819,128,-25122,104110,,,live_exact.pkl
1786635789,8943719790,90290774978013196,5,1541,0.031056,25.6833,-25986,-649,,7,1,-6,0,0.179737,-24,,-8050,-0.0132785,1,0,-1,-22,-341,-22,-0.246247,,-25190,128,-25986,105528,,,live_exact.pkl
1786635804,8943719790,90290774978013196,5,1557,0.031056,25.95,-28581,-5284,,7,1,-6,-2,0.179737,-26,,-9003,-0.0174364,1,0,-1,-23,-341,-22,-0.264798,,-26767,128,-28581,107935,,,live_exact.pkl
1786635820,8943719790,90290774978013196,5,1572,0.045752,26.2,-29906,-5912,,7,1,-6,-2,0.179737,-27,,-9099,-0.0111808,1,0,-1,-25,-337,-22,-0.275641,,-28210,128,-29906,108496,,,live_exact.pkl
1786635835,8943719790,90290774978013196,5,1588,0.031056,26.4667,-32085,-6963,,8,1,-7,-4,0.179737,-27,,-9484,-0.00699875,2,0,-2,-25,-335,-22,-0.287802,,-30334,128,-32085,111483,,,live_exact.pkl
1786635850,8943719790,90290774978013196,5,1603,0.031056,26.7167,-32180,-6194,,8,1,-7,-4,0.179737,-27,,-9494,-0.00657692,2,0,-2,-27,-336,-22,-0.286579,,-31733,128,-32180,112290,,,live_exact.pkl
1786635866,8943719790,90290774978013196,5,1618,0.020992,26.9667,-33737,-5156,,10,1,-9,-4,0.179737,-27,,-10065,-0.00688879,2,0,-2,-26,-334,-22,-0.293623,,-32666,128,-33737,114899,,,live_exact.pkl
1786635881,8943719790,90290774978013196,5,1634,0.031056,27.2333,-34780,-4874,,10,1,-9,-4,0.179737,-29,,-10089,-0.00206352,2,0,-2,-27,-331,-22,-0.298474,,-34166,128,-34780,116526,,,live_exact.pkl
1786635896,8943719790,90290774978013196,6,1638,0.201036,27.3,-34651,-4745,,,,,,0.179737,-29,,-9992,-0.000735278,,,,-27,-329,-22,-0.296692,,-34166,128,-34651,116791,,,live_exact.pkl
1786635912,8943719790,90290774978013196,6,1638,0.201036,27.3,-34618,-4712,,,,,,0.179737,-29,,-9992,-0.00106695,,,,-27,-329,-22,-0.296164,,-34166,128,-34618,116888,,,live_exact.pkl
1786635927,8943719790,90290774978013196,6,1638,0.201036,27.3,-34616,-4710,,,,,,0.179737,-29,,-9992,-0.0010872,,,,-27,-329,-22,-0.296132,,-34166,128,-34616,116894,,,live_exact.pkl
1786635942,8943719790,90290774978013196,6,1638,0.201036,27.3,-34616,-4710,,,,,,0.179737,-29,,-9992,-0.0010872,,,,-27,-329,-22,-0.296132,,-34166,128,-34616,116894,,,live_exact.pkl
1786635957,8943719790,90290774978013196,6,1638,0.201036,27.3,-34616,-4710,,,,,,0.179737,-29,,-9992,-0.0010872,,,,-27,-329,-22,-0.296132,,-34166,128,-34616,116894,,,live_exact.pkl
1786635973,8943719790,90290774978013196,6,1638,0.201036,27.3,-34616,-4710,,,,,,0.179737,-29,,-9992,-0.0010872,,,,-27,-329,-22,-0.296132,,-34166,128,-34616,116894,,,live_exact.pkl
1786635988,8943719790,90290774978013196,6,1638,0.201036,27.3,-34616,-4710,,,,,,0.179737,-29,,-9992,-0.0010872,,,,-27,-329,-22,-0.296132,,-34166,128,-34616,116894,,,live_exact.pkl
1786636003,8943719790,90290774978013196,6,1638,0.201036,27.3,-34616,-4710,,,,,,0.179737,-29,,-9992,-0.0010872,,,,-27,-329,-22,-0.296132,,-34166,128,-34616,116894,,,live_exact.pkl
1786636019,8943719790,90290774978013196,6,1638,0.201036,27.3,-34616,-4710,,,,,,0.179737,-29,,-9992,-0.0010872,,,,-27,-329,-22,-0.296132,,-34166,128,-34616,116894,,,live_exact.pkl
1786636034,8943719790,90290774978013196,6,1638,0.201036,27.3,-34616,-4710,,,,,,0.179737,-29,,-9992,-0.0010872,,,,-27,-329,-22,-0.296132,,-34166,128,-34616,116894,,,live_exact.pkl
1786636049,8943719790,90290774978013196,6,1638,0.201036,27.3,-34616,-4710,,,,,,0.179737,-29,,-9992,-0.0010872,,,,-27,-329,-22,-0.296132,,-34166,128,-34616,116894,,,live_exact.pkl
