ts,match_id,server_steam_id,game_state,game_time,p,minute,gold_adv,gold_adv_d1,gold_adv_slope5,radiant_towers_lost,dire_towers_lost,tower_adv,rax_adv,draft_logit,kills_adv,kills_adv_d5,nw_top_adv,nw_conc_adv,radiant_t3_lost,dire_t3_lost,t3_adv,level_adv,lh_adv,dn_adv,gold_adv_norm,gold_adv_norm_slope5,graph_gold_last,graph_gold_len,nw_adv,nw_total,team_id_radiant,team_id_dire,p_stratz,stratz_time,model
1786819160,8947470554,90290993911071774,5,324,0.521105,5.4,109,,,0,0,0,0,0.128919,2,,339,0.0336496,0,0,0,1,-11,-10,0.00593779,,-148,128,109,18357,10223220,10223221,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786819178,8947470554,90290993911071774,5,343,0.461761,5.71667,-576,,,0,0,0,0,0.128919,0,,-9,0.0153996,0,0,0,-1,-9,-10,-0.0296357,,-230,128,-576,19436,10223220,10223221,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786819195,8947470554,90290993911071774,5,360,0.481941,6,-598,,,0,0,0,0,0.128919,-1,,-66,0.00930084,0,0,0,-3,-3,-10,-0.0294118,,-647,128,-598,20332,10223220,10223221,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786819211,8947470554,90290993911071774,5,376,0.455600,6.26667,-683,,,0,0,0,0,0.128919,-1,,-104,0.0075557,0,0,0,-2,-7,-11,-0.0329014,,-645,128,-683,20759,10223220,10223221,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786819228,8947470554,90290993911071774,5,393,0.462038,6.55,-613,-572,,0,0,0,0,0.128919,0,,-32,0.0124917,0,0,0,0,-11,-11,-0.0281515,,-829,128,-613,21775,10223220,10223221,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786819245,8947470554,90290993911071774,5,410,0.506477,6.83333,-351,296,,0,0,0,0,0.128919,0,,-83,0.00110961,0,0,0,-2,-4,-11,-0.015496,,-470,128,-351,22651,10223220,10223221,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786819262,8947470554,90290993911071774,5,427,0.521642,7.11667,-245,286,,0,0,0,0,0.128919,0,,91,0.0131834,0,0,0,-1,-1,-11,-0.0102429,,-351,128,-245,23919,10223220,10223221,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786819278,8947470554,90290993911071774,5,443,0.536603,7.38333,-41,629,,0,0,0,0,0.128919,0,,213,0.0181823,0,0,0,0,5,-11,-0.00166322,,26,128,-41,24651,10223220,10223221,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786819295,8947470554,90290993911071774,5,460,0.513892,7.66667,-305,134,,0,0,0,0,0.128919,0,,148,0.0181171,0,0,0,-2,-2,-12,-0.0120159,,-168,128,-305,25383,10223220,10223221,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786819311,8947470554,90290993911071774,5,476,0.512872,7.93333,-237,326,,0,0,0,0,0.128919,0,,103,0.0126732,0,0,0,-1,-5,-12,-0.00901038,,61,128,-237,26303,10223220,10223221,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786819328,8947470554,90290993911071774,5,493,0.540176,8.21667,304,629,,0,0,0,0,0.128919,0,,297,0.0157925,0,0,0,0,-2,-12,0.0111576,,-193,128,304,27246,10223220,10223221,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786819345,8947470554,90290993911071774,5,510,0.552226,8.5,601,769,,0,0,0,0,0.128919,1,,297,0.00941589,0,0,0,-1,-3,-12,0.0212841,,633,128,601,28237,10223220,10223221,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786819361,8947470554,90290993911071774,5,526,0.582694,8.76667,855,1126,,0,0,0,0,0.128919,1,,448,0.0146105,0,0,0,-1,-1,-12,0.0296186,,573,128,855,28867,10223220,10223221,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786819378,8947470554,90290993911071774,5,543,0.525829,9.05,-192,-44,,0,0,0,0,0.128919,-1,,384,0.0284257,0,0,0,0,1,-11,-0.00624715,,735,128,-192,30734,10223220,10223221,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786819395,8947470554,90290993911071774,5,560,0.533419,9.33333,-37,-670,,0,0,0,0,0.128919,-1,,418,0.0275412,0,0,0,0,7,-11,-0.00118921,,-419,128,-37,31113,10223220,10223221,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786819412,8947470554,90290993911071774,5,577,0.532418,9.61667,77,-707,,0,0,0,0,0.128919,-1,,438,0.0256477,0,0,0,-1,3,-11,0.0023712,,-39,128,77,32473,10223220,10223221,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786819427,8947470554,90290993911071774,5,592,0.537761,9.86667,100,-635,,0,0,0,0,0.128919,-1,,507,0.0288819,0,0,0,1,3,-11,0.00301405,,184,128,100,33178,10223220,10223221,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786819444,8947470554,90290993911071774,5,609,0.543691,10.15,174,422,,0,0,0,0,0.128919,-1,,636,0.0346966,0,0,0,1,6,-11,0.00514245,,106,128,174,33836,10223220,10223221,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786819461,8947470554,90290993911071774,5,626,0.489239,10.4333,90,127,-3.77483,0,0,0,0,0.128919,-2,-4,687,0.0380348,0,0,0,0,7,-10,0.00258755,-0.000665611,-50,128,90,34782,10223220,10223221,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786819478,8947470554,90290993911071774,5,643,0.482472,10.7167,-224,-301,1.18033,0,0,0,0,0.128919,-3,-4,959,0.0572467,0,0,0,-1,8,-9,-0.00626784,0.0011411,76,128,-224,35738,10223220,10223221,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
1786819495,8947470554,90290993911071774,5,660,0.473288,11,-435,-616,-18.6139,0,0,0,0,0.128919,-3,-3,695,0.0446174,0,0,0,-2,1,-8,-0.0118229,0.00103119,-125,128,-435,36793,10223220,10223221,,,ens_03+ens_05+ens_07+ens_11+ens_13.pkl
